Customer_ID,Loan_Amount,Loan_Purpose,Loan_Term,Paperless_Enabled,Interest_Rate,is_sustainable,design_score,sentiment_score,goal_alignment_score,revenue
0,1128341,1,12,1,7.692911308673525,1,0.7194538480692795,0.7631844629994341,0.8275461036895712,1041627.2686727992
1,436239,1,60,0,9.067520232834042,0,0.9490125360603548,0.9203902949335936,0.6231342769979827,2373363.5753107737
2,1240170,2,60,1,8.490459815147945,1,0.7473526289127138,0.5247985119720457,0.7573837136282532,6317768.1293712165
3,450425,0,36,1,9.003886090004674,1,0.8399285698248379,0.6541136793631505,0.8313474163959961,1460007.141152528
4,925177,0,48,1,8.829247148357712,1,0.8640087525436736,0.8208528170740104,0.8949538565392281,3920935.866708549
5,602939,1,48,1,10.364488783528092,1,0.6984255676900678,0.7759782761384689,0.8248012812761788,2999594.1612727894
6,1322196,2,12,1,9.4331004652148,1,0.6609226563230295,0.8226023152588211,0.8278416571939502,1496688.924324618
7,241753,0,48,1,7.349413150703468,1,0.828288320003418,0.6984413970444256,0.8422432390159479,852836.4851625675
8,238056,3,48,1,6.783575504939169,1,0.7722758369767536,0.556570077922956,0.7762819716332365,775138.0081938234
9,258651,0,48,0,8.409637049066061,0,0.8498449007884205,0.9505791261439992,0.6001413423108065,1044077.2955414332
10,334347,1,24,1,6.570247800159781,1,0.6654341920695361,0.8800603067893076,0.8484981662862813,527218.2338976054
11,786841,3,12,1,7.93233823625001,1,0.7643242832094217,0.7470986211094652,0.8371409681062957,748978.6740179034
12,1149520,2,36,1,8.156096612476516,1,0.7818162358408098,0.6490007259634846,0.8102723206014315,3375214.6240706416
13,718281,3,48,1,8.190149933044658,1,0.5562530263559408,0.6911318910430394,0.74912830579966,2823757.96034748
14,371258,3,24,1,10.907075109457518,1,0.8995457270957167,0.7774900214171712,0.8923452495042961,971841.3338368748
15,926278,1,48,1,7.867553946376107,1,0.7242558154883908,0.7198041279976852,0.814686647828692,3498020.2244838565
16,839026,0,24,0,7.693523729203795,0,0.9499161341672592,0.7482601002581938,0.5660587448084843,1549215.9457005465
17,1357496,2,12,0,7.082214189803936,0,0.7307169282085858,0.9432164645011044,0.5579777975698968,1153689.29205625
18,1405381,3,48,0,8.799539760571758,0,0.747867326400705,0.8608410255959426,0.5362361173322158,5936018.874361008
19,1443316,1,24,1,7.191534377961293,1,0.6758087881439523,0.6095065837600036,0.761771790634652,2491117.59174278
